"id","code","name","depreciation_rate"
"asset_legal_rate_0430","0430","Máquinas e instalações de uso específico",12.50
"asset_legal_rate_0440","0440","Maquinaria para o fabrico de malhas",20.00
"asset_legal_rate_0445","0445","Maquinaria para o fabrico de cordas, cabos e redes",12.50
"asset_legal_rate_0450","0450","Teares para a indústria de tapeçaria",14.28
"asset_legal_rate_0455","0455","Outras máquinas e instalações de uso específico: Para uso em ambiente normal",12.50
"asset_legal_rate_0460","0460","Outras máquinas e instalações de uso específico: Para uso em ambiente corrosivo",20.00
"asset_legal_rate_0470","0470","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0475","0475","Caldeiras para a produção de vapor",20.00
"asset_legal_rate_0480","0480","Moldes e formas para calçado",50.00
"asset_legal_rate_0490","0490","Instalação industriais de uso específico",12.50
"asset_legal_rate_0495","0495","Maquinaria: De serração e fabrico de móveis e alfaias de madeira",14.28
"asset_legal_rate_0500","0500","Maquinaria: Para o fabrico de folheados, contraplacados e aglomerados de partículas e fibras de madeira",12.50
"asset_legal_rate_0510","0510","Caldeiras a vapor",20.00
"asset_legal_rate_0515","0515","Autoclaves de cocção",14.28
"asset_legal_rate_0520","0520","Fornos de fogo semidirecto",12.50
"asset_legal_rate_0525","0525","Instalações de uso específico",8.33
"asset_legal_rate_0530","0530","Máquinas de uso específico",10.00
"asset_legal_rate_0540","0540","Geradores de vapor",6.66
"asset_legal_rate_0545","0545","Lixiviadores",14.28
"asset_legal_rate_0550","0550","Máquinas de uso específico para: Fabricação de pasta",10.00
"asset_legal_rate_0555","0555","Máquinas de uso específico para: Formação de folha de papel",8.33
"asset_legal_rate_0560","0560","Máquinas de uso específico para: Preparação e acabamento de papel",12.50
"asset_legal_rate_0565","0565","Máquinas de uso específico para: Transformação de papel",14.28
"asset_legal_rate_0575","0575","Máquinas de composição de jornais diários",20.00
"asset_legal_rate_0580","0580","Máquinas de impressão",14.28
"asset_legal_rate_0585","0585","Aparelhagem eletrónica para comando, reprodução, iluminação e corte",20.00
"asset_legal_rate_0590","0590","Outras máquinas e apetrechos de uso específico",12.50
"asset_legal_rate_0595","0595","Tipos e cortantes",33.33
"asset_legal_rate_0605","0605","Instalações industriais de uso específico",12.50
"asset_legal_rate_0610","0610","Máquinas de uso específico",14.28
"asset_legal_rate_0620","0620","Máquinas e instalações industriais de uso específico",14.28
"asset_legal_rate_0625","0625","Moldes e formas",33.33
"asset_legal_rate_0640","0640","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0645","0645","Máquinas e instalações industriais de uso específico sujeitas a ambiente corrosivo",16.66
"asset_legal_rate_0650","0650","Oleodutos, reservatórios e instalações de distribuição",10.00
