id,code,name
hr_tax_office_1449,1449,POMBAL
hr_tax_office_1457,1457,PORTO DE MOS
hr_tax_office_1465,1465,ALENQUER
hr_tax_office_1473,1473,ARRUDA DOS VINHOS
hr_tax_office_1481,1481,AZAMBUJA
hr_tax_office_1490,1490,CADAVAL
hr_tax_office_1503,1503,CASCAIS-1.
hr_tax_office_1520,1520,LOURES-1
hr_tax_office_1538,1538,LOURINHA
hr_tax_office_1546,1546,MAFRA
hr_tax_office_1554,1554,OEIRAS-1.
hr_tax_office_1562,1562,SINTRA-1
hr_tax_office_1570,1570,SOBRAL MONTE AGRACO
hr_tax_office_1589,1589,TORRES VEDRAS
hr_tax_office_1597,1597,VILA FRANCA XIRA-1
hr_tax_office_1600,1600,ALTER DO CHAO
hr_tax_office_1619,1619,ARRONCHES
hr_tax_office_1627,1627,AVIS
hr_tax_office_1635,1635,CAMPO MAIOR
hr_tax_office_1643,1643,CASTELO DE VIDE
hr_tax_office_1651,1651,CRATO
hr_tax_office_1660,1660,ELVAS
hr_tax_office_1678,1678,FRONTEIRA
hr_tax_office_1686,1686,GAVIAO
hr_tax_office_1694,1694,MARVAO
hr_tax_office_1708,1708,MONFORTE
hr_tax_office_1716,1716,NISA
hr_tax_office_1724,1724,PONTE DE SOR
hr_tax_office_1732,1732,PORTALEGRE
hr_tax_office_1740,1740,SOUSEL
hr_tax_office_1759,1759,AMARANTE
hr_tax_office_1767,1767,BAIAO
hr_tax_office_1775,1775,FELGUEIRAS
hr_tax_office_1783,1783,GONDOMAR-1
hr_tax_office_1791,1791,LOUSADA
hr_tax_office_1805,1805,MAIA
hr_tax_office_1813,1813,MARCO DE CANAVESES
hr_tax_office_1821,1821,MATOSINHOS-1
hr_tax_office_1830,1830,PACOS DE FERREIRA
hr_tax_office_1848,1848,PAREDES
hr_tax_office_1856,1856,PENAFIEL
hr_tax_office_1872,1872,POVOA DE VARZIM
hr_tax_office_1880,1880,SANTO TIRSO
hr_tax_office_1899,1899,VALONGO-1.
hr_tax_office_1902,1902,VILA DO CONDE
hr_tax_office_1910,1910,VILA NOVA DE GAIA-1.
hr_tax_office_1929,1929,ABRANTES
hr_tax_office_1937,1937,ALCANENA
hr_tax_office_1945,1945,ALMEIRIM
